연도,회차,로또 당첨번호,보너스,순위,당첨자수,1인당 당첨금액
2009,325회,7 17 20 32 44 45,33,1등,6명,1806122450
2009,324회,2 4 21 25 33 36,17,1등,6명,1865130350
2009,323회,10 14 15 32 36 42,3,1등,8명,1461025388
2009,322회,9 18 29 32 38 43,20,1등,6명,1904544700
2009,321회,12 18 20 21 25 34,42,1등,6명,1959136100
2009,320회,16 19 23 25 41 45,3,1등,2명,5513067900
2009,319회,5 8 22 28 33 42,37,1등,5명,2135659380
2009,318회,2 17 19 20 34 45,21,1등,9명,1207436600
2008,317회,3 10 11 22 36 39,8,1등,4명,2576258550
2008,316회,10 11 21 27 31 39,43,1등,6명,1673586400
2008,315회,1 13 33 35 43 45,23,1등,8명,1308728625
2008,314회,15 17 19 34 38 41,2,1등,6명,1660512200
2008,313회,9 17 34 35 43 45,2,1등,6명,1715422800
2008,312회,2 3 5 6 12 20,25,1등,15명,629017820
2008,311회,4 12 24 27 28 32,10,1등,8명,1237691063
2008,310회,1 5 19 28 34 41,16,1등,8명,1296713325
2008,309회,1 2 5 11 18 36,22,1등,11명,901622946
2008,308회,14 15 17 19 37 45,40,1등,1명,10232872800
2008,307회,5 15 21 23 25 45,12,1등,4명,2587643250
2008,306회,4 18 23 30 34 41,19,1등,5명,2102669520
2008,305회,7 8 18 21 23 39,9,1등,5명,2008210140
2008,304회,4 10 16 26 33 41,38,1등,6명,1661646150
2008,303회,2 14 17 30 38 45,43,1등,6명,1672749000
2008,302회,13 19 20 32 38 42,4,1등,2명,5472167250
2008,301회,7 11 13 33 37 43,26,1등,7명,1447385015
2008,300회,7 9 10 12 26 38,39,1등,12명,836092425
2008,299회,1 3 20 25 36 45,24,1등,7명,1483772529
2008,298회,5 9 27 29 37 40,19,1등,1명,9909778500
2008,297회,6 11 19 20 28 32,34,1등,2명,5056668750
2008,296회,3 8 15 27 30 45,44,1등,8명,3066088275
2008,295회,1 4 12 16 18 38,8,1등,0명,0
2008,294회,6 10 17 30 37 38,40,1등,4명,2406504975
2008,293회,1 9 17 21 29 33,24,1등,6명,1656764400
2008,292회,17 18 31 32 33 34,10,1등,14명,720373950
2008,291회,3 7 8 18 20 42,45,1등,7명,1450585200
2008,290회,8 13 18 32 39 45,7,1등,13명,2149214424
2008,289회,3 14 33 37 38 42,10,1등,0명,0
2008,288회,1 12 17 28 35 41,10,1등,4명,2357261550
2008,287회,6 12 24 27 35 37,41,1등,7명,1328657100
2008,286회,1 15 19 40 42 44,17,1등,3명,3236566300
2008,285회,13 33 37 40 41 45,2,1등,3명,3164370100
2008,284회,2 7 15 24 30 45,28,1등,3명,3117640300
2008,283회,6 8 18 31 38 45,42,1등,3명,3137224600
2008,282회,2 5 10 18 31 32,30,1등,7명,1322052643
2008,281회,1 3 4 6 14 41,12,1등,6명,1554683200
2008,280회,10 11 23 24 36 37,35,1등,7명,1355258529
2008,279회,7 16 31 36 37 38,11,1등,5명,1914205320
2008,278회,3 11 37 39 41 43,13,1등,3명,3186530000
2008,277회,10 12 13 15 25 29,20,1등,3명,3272627800
2008,276회,4 15 21 33 39 41,25,1등,3명,3312569000
2008,275회,14 19 20 35 38 40,26,1등,1명,10044066900
2008,274회,13 14 15 26 35 39,25,1등,4명,2505085575
2008,273회,1 8 24 31 34 44,6,1등,3명,3339543100
2008,272회,7 9 12 27 39 43,28,1등,9명,1104622800
2008,271회,3 8 9 27 29 40,36,1등,6명,1565918150
2008,270회,5 9 12 20 21 26,27,1등,5명,1927830060
2008,269회,5 18 20 36 42 43,32,1등,5명,1961399940
2008,268회,3 10 19 24 32 45,12,1등,7명,1350954515
2008,267회,7 8 24 34 36 41,1,1등,3명,3257663300
2008,266회,3 4 9 11 22 42,37,1등,3명,3207211700
2007,265회,5 9 34 37 38 39,12,1등,8명,1200838575
2007,264회,9 16 27 36 41 44,5,1등,7명,1344889200
2007,263회,1 27 28 32 37 40,18,1등,6명,1551704900
2007,262회,9 12 24 25 29 31,36,1등,2명,4518741600
2007,261회,6 11 16 18 31 43,2,1등,3명,3192299100
2007,260회,7 12 15 24 37 40,43,1등,4명,2310085575
2007,259회,4 5 14 35 42 45,34,1등,2명,4838533500
2007,258회,14 27 30 31 38 40,17,1등,4명,2426434350
2007,257회,6 13 27 31 32 37,4,1등,4명,2391377025
2007,256회,4 11 14 21 23 43,32,1등,2명,4891017000
2007,255회,1 5 6 24 27 42,32,1등,6명,1598618550
2007,254회,1 5 19 20 24 30,27,1등,1명,9741015900
2007,253회,8 19 25 31 34 36,33,1등,4명,2466189525
2007,252회,14 23 26 31 39 45,28,1등,7명,1391089715
2007,251회,6 7 19 25 28 38,45,1등,8명,1282616400
2007,250회,19 23 30 37 43 45,38,1등,5명,1994726280
2007,249회,3 8 27 31 41 44,11,1등,6명,1663568700
2007,248회,3 8 17 23 38 45,13,1등,8명,1227479363
2007,247회,12 15 28 36 39 40,13,1등,6명,1669313900
2007,246회,13 18 21 23 26 39,15,1등,5명,1911774240
2007,245회,9 11 27 31 32 38,22,1등,7명,1382583129
2007,244회,13 16 25 36 37 38,19,1등,1명,9121583100
2007,243회,2 12 17 19 28 42,34,1등,4명,2408850000
2007,242회,4 19 20 21 32 34,43,1등,8명,1234542375
2007,241회,2 16 24 27 28 35,21,1등,4명,2552016300
2007,240회,6 10 16 40 41 43,21,1등,2명,5098251450
2007,239회,11 15 24 39 41 44,7,1등,9명,1134140167
2007,238회,2 4 15 28 31 34,35,1등,9명,1121660567
2007,237회,1 11 17 21 24 44,33,1등,7명,1440630729
2007,236회,1 4 8 13 37 39,7,1등,2명,5030040150
2007,235회,21 22 26 27 31 37,8,1등,3명,3433330100
2007,234회,13 21 22 24 26 37,4,1등,4명,2519743875
2007,233회,4 6 13 17 28 40,39,1등,10명,999153750
2007,232회,8 9 10 12 24 44,35,1등,9명,1110918400
2007,231회,5 10 19 31 44 45,27,1등,9명,1088365900
2007,230회,5 11 14 29 32 33,12,1등,8명,1292929163
2007,229회,4 5 9 11 23 38,35,1등,7명,1451441100
2007,228회,17 25 35 36 39 44,23,1등,9명,1146700334
2007,227회,4 5 15 16 22 42,2,1등,2명,5253542400
2007,226회,2 6 8 14 21 22,34,1등,6명,1744100150
2007,225회,5 11 13 19 31 36,7,1등,6명,1777201800
2007,224회,4 19 26 27 30 42,7,1등,6명,1808969950
2007,223회,1 3 18 20 26 27,38,1등,7명,1498170600
2007,222회,5 7 28 29 39 43,44,1등,5명,2275193820
2007,221회,2 20 33 35 37 40,10,1등,6명,1800104250
2007,220회,5 11 19 21 34 43,31,1등,6명,1958094950
2007,219회,4 11 20 26 35 37,16,1등,9명,1208409167
2007,218회,1 8 14 18 29 44,20,1등,4명,2779075800
2007,217회,16 20 27 33 35 39,38,1등,7명,1611246172
2007,216회,7 16 17 33 36 40,1,1등,13명,848506108
2007,215회,2 3 7 15 43 44,4,1등,7명,1587689615
2007,214회,5 7 20 25 28 37,32,1등,8명,1406980875
2006,213회,2 3 4 5 20 24,42,1등,8명,1376678025
2006,212회,11 12 18 21 31 38,8,1등,4명,2660747250
2006,211회,12 13 17 20 33 41,8,1등,10명,1035800250
2006,210회,10 19 22 23 25 37,39,1등,2명,5139085950
2006,209회,2 7 18 20 24 33,37,1등,6명,1660896350
2006,208회,14 25 31 34 40 44,24,1등,6명,1760767400
2006,207회,3 11 14 31 32 37,38,1등,5명,2104673760
2006,206회,1 2 3 15 20 25,43,1등,5명,2032859340
2006,205회,1 3 21 29 35 37,30,1등,6명,1835221800
2006,204회,3 12 14 35 40 45,5,1등,8명,1358347125
2006,203회,1 3 11 24 30 32,7,1등,5명,2164564740
2006,202회,12 14 27 33 39 44,17,1등,6명,1893391700
2006,201회,3 11 24 38 39 44,26,1등,1명,9719465400
2006,200회,5 6 13 14 17 20,7,1등,8명,1344616613
2006,199회,14 21 22 25 30 36,43,1등,2명,5344252200
2006,198회,12 19 20 25 41 45,2,1등,6명,1797855050
2006,197회,7 12 16 34 42 45,4,1등,6명,1803018300
2006,196회,35 36 37 41 44 45,30,1등,15명,727876520
2006,195회,7 10 19 22 35 40,31,1등,11명,918992591
2006,194회,15 20 23 26 39 44,28,1등,4명,2650567875
2006,193회,6 14 18 26 36 39,13,1등,3명,3404449700
2006,192회,4 8 11 18 37 45,33,1등,4명,2445348375
2006,191회,5 6 24 25 32 37,8,1등,4명,2577114675
2006,190회,8 14 18 30 31 44,15,1등,6명,1784159450
2006,189회,8 14 32 35 37 45,28,1등,3명,3461775100
2006,188회,19 24 27 30 31 34,36,1등,3명,3501405200
2006,187회,1 2 8 18 29 38,42,1등,7명,1544733900
2006,186회,4 10 14 19 21 45,9,1등,9명,1187882600
2006,185회,1 2 4 8 19 38,14,1등,3명,3522485800
2006,184회,1 2 6 16 20 33,41,1등,6명,1747753050
2006,183회,2 18 24 34 40 42,5,1등,6명,1777221500
2006,182회,13 15 27 29 34 40,35,1등,3명,3721439400
2006,181회,14 21 23 32 40 45,44,1등,6명,1941763300
2006,180회,2 15 20 21 29 34,22,1등,2명,5763371550
2006,179회,5 9 17 25 39 43,32,1등,10명,1081093920
2006,178회,1 5 11 12 18 23,9,1등,5명,2254621080
2006,177회,1 10 13 16 37 43,6,1등,7명,1693285500
2006,176회,4 17 30 32 33 34,15,1등,5명,2314663080
2006,175회,19 26 28 31 33 36,17,1등,5명,2371132620
2006,174회,13 14 18 22 35 39,16,1등,7명,1771103058
2006,173회,3 9 24 30 33 34,18,1등,8명,1487736788
2006,172회,4 19 21 24 26 41,35,1등,11명,1081154073
2006,171회,4 16 25 29 34 35,1,1등,6명,1961339700
2006,170회,2 11 13 15 31 42,10,1등,6명,1923108250
2006,169회,16 27 35 37 43 45,19,1등,5명,2482888380
2006,168회,3 10 31 40 42 43,30,1등,5명,2349946920
2006,167회,24 27 28 30 36 39,4,1등,5명,2491222920
2006,166회,9 12 27 36 39 45,14,1등,11명,1111299982
2006,165회,5 13 18 19 22 42,31,1등,2명,6767426700
2006,164회,6 9 10 11 39 41,27,1등,3명,4054937900
2006,163회,7 11 26 28 29 44,16,1등,7명,1629726515
2006,162회,1 5 21 25 38 41,24,1등,5명,2308265760
2005,161회,22 34 36 40 42 45,44,1등,7명,1996876272
2005,160회,3 7 8 34 39 41,1,1등,2명,5490805350
2005,159회,1 18 30 41 42 43,32,1등,6명,1755407300
2005,158회,4 9 13 18 21 34,7,1등,10명,1069544340
2005,157회,19 26 30 33 35 39,37,1등,2명,5484903750
2005,156회,5 18 28 30 42 45,2,1등,8명,1401099900
2005,155회,16 19 20 32 33 41,4,1등,9명,1193005734
2005,154회,6 19 21 35 40 45,20,1등,4명,2836628700
2005,153회,3 8 11 12 13 36,33,1등,4명,2730526125
2005,152회,1 5 13 26 29 34,43,1등,5명,2278131840
2005,151회,1 2 10 13 18 19,15,1등,4명,2716634025
2005,150회,2 18 25 28 37 39,16,1등,4명,2831645850
2005,149회,2 11 21 34 41 42,27,1등,7명,1639052143
2005,148회,21 25 33 34 35 36,17,1등,5명,2323596420
2005,147회,4 6 13 21 40 42,36,1등,7명,1700040215
2005,146회,2 19 27 35 41 42,25,1등,2명,6043415250
2005,145회,2 3 13 20 27 44,9,1등,3명,3797838200
2005,144회,4 15 17 26 36 37,43,1등,8명,1402440413
2005,143회,26 27 28 42 43 45,8,1등,3명,3954584700
2005,142회,12 16 30 34 40 44,19,1등,11명,1018265564
2005,141회,8 12 29 31 42 43,2,1등,6명,1900552400
2005,140회,3 13 17 18 19 28,8,1등,5명,2109462840
2005,139회,9 11 15 20 28 43,13,1등,7명,1650210215
2005,138회,10 11 27 28 37 39,19,1등,5명,2227152000
2005,137회,7 9 20 25 36 39,15,1등,9명,1270403467
2005,136회,2 16 30 36 41 42,11,1등,6명,1997694150
2005,135회,6 14 22 28 35 39,16,1등,7명,1717293515
2005,134회,3 12 20 23 31 35,43,1등,5명,2349155100
2005,133회,4 7 15 18 23 26,13,1등,8명,1450242600
2005,132회,3 17 23 34 41 45,43,1등,4명,2920473525
2005,131회,8 10 11 14 15 21,37,1등,8명,1451214488
2005,130회,7 19 24 27 42 45,31,1등,4명,3036496650
2005,129회,19 23 25 28 38 42,17,1등,11명,1093629655
2005,128회,12 30 34 36 37 45,39,1등,6명,2064043100
2005,127회,3 5 10 29 32 43,35,1등,6명,1965939150
2005,126회,7 20 22 27 40 43,1,1등,9명,1369301500
2005,125회,2 8 32 33 35 36,18,1등,7명,1754870786
2005,124회,4 16 23 25 29 42,1,1등,9명,1395936267
2005,123회,7 17 18 28 30 45,27,1등,5명,2532982680
2005,122회,1 11 16 17 36 40,8,1등,9명,1450073800
2005,121회,12 28 30 34 38 43,9,1등,2명,6839648100
2005,120회,4 6 10 11 32 37,30,1등,3명,4364530300
2005,119회,3 11 13 14 17 21,38,1등,9명,1474899400
2005,118회,3 4 10 17 19 22,38,1등,10명,1297989720
2005,117회,5 10 22 34 36 44,35,1등,9명,1558378334
2005,116회,2 4 25 31 34 37,17,1등,7명,1997747315
2005,115회,1 2 6 9 25 28,31,1등,9명,1488589567
2005,114회,11 14 19 26 28 41,2,1등,6명,2362345050
2005,113회,4 9 28 33 36 45,26,1등,9명,1561528934
2005,112회,26 29 30 33 41 42,43,1등,9명,1567271167
2005,111회,7 18 31 33 36 40,27,1등,6명,2199047450
2005,110회,7 20 22 23 29 43,1,1등,3명,4566262000
2005,109회,1 5 34 36 42 44,33,1등,12명,1246838200
2004,108회,7 18 22 23 29 44,12,1등,7명,1998900772
2004,107회,1 4 5 6 9 31,17,1등,2명,6679927800
2004,106회,4 10 12 22 24 33,29,1등,16명,810461157
2004,105회,8 10 20 34 41 45,28,1등,4명,3416781450
2004,104회,17 32 33 34 42 44,35,1등,2명,6610743750
2004,103회,5 14 15 27 30 45,10,1등,8명,1691589563
2004,102회,17 22 24 26 35 40,42,1등,9명,1457153067
2004,101회,1 3 17 32 35 45,8,1등,5명,2707297500
2004,100회,1 7 11 23 37 42,6,1등,4명,3315315525
2004,99회,1 3 10 27 29 37,11,1등,6명,2169219050
2004,98회,6 9 16 23 24 32,43,1등,4명,3177972300
2004,97회,6 7 14 15 20 36,3,1등,9명,1496214000
2004,96회,1 3 8 21 22 31,20,1등,7명,1847133515
2004,95회,8 17 27 31 34 43,14,1등,8명,1747741238
2004,94회,5 32 34 40 41 45,6,1등,6명,2245339950
2004,93회,6 22 24 36 38 44,19,1등,6명,2269178150
2004,92회,3 14 24 33 35 36,17,1등,11명,1233270846
2004,91회,1 21 24 26 29 42,27,1등,4명,3582902400
2004,90회,17 20 29 35 38 44,10,1등,4명,3291435300
2004,89회,4 26 28 29 33 40,37,1등,3명,4248321900
2004,88회,1 17 20 24 30 41,27,1등,4명,3069709650
2004,87회,4 12 16 23 34 43,26,1등,11명,1799358055
2004,86회,2 12 37 39 41 45,33,1등,1명,14252186400
2004,85회,6 8 13 23 31 36,21,1등,4명,3462109800
2004,84회,16 23 27 34 42 45,11,1등,2명,7669779000
2004,83회,6 10 15 17 19 34,14,1등,2명,7086948300
2004,82회,1 2 3 14 27 42,39,1등,1명,14562494400
2004,81회,5 7 11 13 20 33,6,1등,5명,2714288880
2004,80회,17 18 24 25 26 30,1,1등,1명,13809540000
2004,79회,3 12 24 27 30 32,14,1등,4명,3416443800
2004,78회,10 13 25 29 33 35,38,1등,4명,3519850000
2004,77회,2 18 29 32 43 44,37,1등,3명,5155758600
2004,76회,1 3 15 22 25 37,43,1등,2명,7451022600
2004,75회,2 5 24 32 34 44,28,1등,4명,3914616900
2004,74회,6 15 17 18 35 40,23,1등,3명,5284949800
2004,73회,3 12 18 32 40 43,38,1등,6명,2766662100
2004,72회,2 4 11 17 26 27,1,1등,13명,3260524600
2004,71회,5 9 12 16 29 41,21,1등,0명,0
2004,70회,5 19 22 25 28 43,26,1등,3명,5031277800
2004,69회,5 8 14 15 19 39,35,1등,3명,4962712200
2004,68회,10 12 15 16 26 39,38,1등,5명,2945882100
2004,67회,3 7 10 15 36 38,33,1등,7명,2114436500
2004,66회,2 3 7 17 22 24,45,1등,4명,3685138200
2004,65회,4 25 33 36 40 43,39,1등,4명,3727945800
2004,64회,14 15 18 21 26 36,39,1등,4명,3899818000
2004,63회,3 20 23 36 38 40,5,1등,2명,7922245500
2004,62회,3 8 15 27 29 35,21,1등,1명,15817286400
2004,61회,14 15 19 30 38 43,8,1등,5명,3541038800
2004,60회,2 8 25 36 39 42,11,1등,7명,2172504600
2004,59회,6 29 36 39 41 45,13,1등,4명,4127587300
2004,58회,10 24 25 33 40 44,1,1등,4명,3676429200
2004,57회,7 10 16 25 29 44,6,1등,4명,4114411900
2003,56회,10 14 30 31 33 37,19,1등,4명,3777570900
2003,55회,17 21 31 37 40 44,7,1등,2명,7088799600
2003,54회,1 8 21 27 36 39,37,1등,3명,5148626600
2003,53회,7 8 14 32 33 39,42,1등,3명,5014371000
2003,52회,2 4 15 16 20 29,1,1등,4명,3900844900
2003,51회,2 3 11 16 26 44,35,1등,6명,2421117000
2003,50회,2 10 12 15 22 44,1,1등,3명,5227061400
2003,49회,4 7 16 19 33 40,30,1등,7명,1967504600
2003,48회,6 10 18 26 37 38,3,1등,6명,2415673600
2003,47회,14 17 26 31 36 45,27,1등,5명,3250042400
2003,46회,8 13 15 23 31 38,39,1등,3명,5327758800
2003,45회,1 10 20 27 33 35,17,1등,2명,8356417800
2003,44회,3 11 21 30 38 45,39,1등,5명,3362155800
2003,43회,6 31 35 38 39 44,1,1등,1명,17749630800
2003,42회,17 18 19 21 23 32,1,1등,6명,6899280100
2003,41회,13 20 23 35 38 43,34,1등,0명,0
2003,40회,7 13 18 19 25 26,6,1등,13명,1147652400
2003,39회,6 7 13 15 21 43,8,1등,6명,2623748800
2003,38회,16 17 22 30 37 43,36,1등,3명,5374866400
2003,37회,7 27 30 33 35 37,42,1등,3명,4985999400
2003,36회,1 10 23 26 28 40,31,1등,1명,16014475800
2003,35회,2 3 11 26 37 43,39,1등,3명,5054598200
2003,34회,9 26 35 37 40 42,2,1등,5명,3056918000
2003,33회,4 7 32 33 40 41,9,1등,1명,14903517600
2003,32회,6 14 19 25 34 44,11,1등,10명,1634528300
2003,31회,7 9 18 23 28 35,32,1등,2명,8106672900
2003,30회,8 17 20 35 36 44,4,1등,2명,8728555500
2003,29회,1 5 13 34 39 40,11,1등,5명,3552594000
2003,28회,9 18 23 25 35 37,1,1등,10명,1700361100
2003,27회,1 20 26 28 37 43,27,1등,2명,9543982500
2003,26회,4 5 7 18 20 25,31,1등,5명,3495069900
2003,25회,2 4 21 26 43 44,16,1등,2명,24227745300
2003,24회,7 8 27 29 36 43,6,1등,0명,0
2003,23회,5 13 17 18 33 42,44,1등,4명,4317947700
2003,22회,4 5 6 8 17 39,25,1등,4명,4552194900
2003,21회,6 12 17 18 31 32,21,1등,23명,797475400
2003,20회,10 14 18 20 23 30,41,1등,1명,19352212800
2003,19회,6 30 38 39 40 43,26,1등,1명,40722959400
2003,18회,3 12 13 19 32 35,29,1등,0명,0
2003,17회,3 4 9 17 32 37,1,1등,3명,5349491200
2003,16회,6 7 24 37 38 40,33,1등,4명,4377146100
2003,15회,3 4 16 30 31 37,13,1등,1명,17014245000
2003,14회,2 6 12 31 33 40,15,1등,4명,9375048300
2003,13회,22 23 25 37 38 42,26,1등,0명,0
2003,12회,2 11 21 25 39 45,44,1등,12명,1348845700
2003,11회,1 7 36 37 41 42,14,1등,5명,4780152300
2003,10회,9 25 30 33 41 44,6,1등,13명,6430437900
2003,9회,2 4 16 17 36 39,14,1등,0명,0
2003,8회,8 19 25 34 37 39,9,1등,0명,0
2003,7회,2 9 16 25 26 40,42,1등,0명,0
2003,6회,14 15 26 27 40 42,34,1등,1명,6574451700
2003,5회,16 24 29 40 41 42,3,1등,0명,0
2002,4회,14 27 30 31 40 42,2,1등,0명,0
2002,3회,11 16 19 21 27 31,30,1등,1명,2000000000
2002,2회,9 13 21 25 32 42,2,1등,1명,2002006800
2002,1회,10 23 29 33 37 40,16,1등,0명,0